thisRow.t,notes,Start.started,textWelcome.started,keyWelcome.started,Start.stopped,break_1.started,polygon.started,polygon.stopped,break_1.stopped,trial_18.started,eegtime,hz18.started,hz18.stopped,trial_18.stopped,break_2.started,polygon_2.started,polygon_2.stopped,break_2.stopped,trial_16.started,hz16.started,hz16.stopped,trial_16.stopped,trial_9.started,hz9.started,hz9.stopped,trial_9.stopped,trial_24.started,hz24.started,hz24.stopped,trial_24.stopped,Adios.started,text_3.started,key_resp.started,Adios.stopped,key_resp.keys,key_resp.rt,key_resp.duration,participant,session,date,expName,psychopyVersion,frameRate,expStart,
,,0.07654850000017177,0.08360859999993409,0.08360859999993409,2.2057340000001204,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,2.2057598000001235,2.2145925999998326,4.709114199999931,4.702060499999789,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,4.702077299999928,1,4.709114199999931,24.699731300000167,24.69365770000013,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,,,,,24.693675200000143,24.699731300000167,34.69247689999975,34.68497780000007,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,2,,,,,,,,34.68499329999986,34.6986437999999,54.691080000000056,54.68269099999998,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,,,,,54.68270799999982,54.69629880000002,64.68822169999976,64.68167760000006,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,3,,,,,,,,,,,,64.68169309999985,64.69562140000016,84.6861641999999,84.67958540000018,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,,,,,84.67960289999974,84.69991449999998,94.69298299999991,94.68523649999997,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,4,,,,,,,,,,,,,,,,94.68525210000007,94.69888390000006,114.69144109999979,114.68303319999995,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,114.6830516,114.69660509999994,117.19110980000005,117.18270329999996,,,,,,,,,,,,,,,,,,,,,,,,,,,,,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,117.1827186999999,117.19633789999989,117.19633789999989,119.76612979999982,space,2.56889880000017,None,002,001,2024-07-02_01h35.57.587,untitled,2024.1.5,None,2024-07-02 01h36.11.229101 -0400,
